kode,nama,kota
JAKK,Jakarta Kota,Jakarta Barat
JAY,Jayakarta,Jakarta Pusat
MGB,Mangga Besar,Jakarta Pusat
SWB,Sawah Besar,Jakarta Pusat
JUA,Juanda,Jakarta Pusat
GDD,Gondangdia,Jakarta Pusat
CKI,Cikini,Jakarta Pusat
MRI,Manggarai,Jakarta Selatan
TEB,Tebet,Jakarta Selatan
CW,Cawang,Jakarta Timur
DRN,Duren Kalibata,Jakarta Selatan
PSMB,Pasar Minggu Baru,Jakarta Selatan
PSM,Pasar Minggu,Jakarta Selatan
TNT,Tanjung Barat,Jakarta Selatan
LNA,Lenteng Agung,Jakarta Selatan
UP,Universitas Pancasila,Jakarta Selatan
UI,Universitas Indonesia,Depok
POC,Pondok Cina,Depok
DPB,Depok Baru,Depok
DP,Depok,Depok
CTA,Citayam,Depok
BJD,Bojong Gede,Bogor
CLT,Cilebut,Bogor
BOO,Bogor,Bogor
